speciesKey,scientificName,matchType,Orig_name,nRecords
5997031,"Eburia pilosa (Erichson, 1834)",EXACT,"Eburia pilosa (Erichson, 1834)",18
10199001,"Eccoptolonthus rutiliventris (Sharp, 1874)",EXACT,"Eccoptolonthus rutiliventris (Sharp, 1874)",54
4469718,"Echinocnemus sardous Desbrochers, 1900",EXACT,"Echinocnemus sardous Desbrochers, 1900",0
9466681,"Edaphus lederi Eppelsheim, 1878",EXACT,"Edaphus lederi Eppelsheim, 1878",21
1043647,"Egius platycephalus Mulsant, 1850",EXACT,"Egius platycephalus Mulsant, 1850",52
10747941,"Elaeidobius subvittatus Faust, 1898",EXACT,"Elaeidobius subvittatus Faust, 1898",11
4988947,"Elaphropus parvulus (Dejean, 1831)",EXACT,"Elaphropus parvulus (Dejean, 1831)",2232
1215806,"Elleschus bipunctatus Norman & H.Joy, 1932",EXACT,"Elleschus bipunctatus Norman & H.Joy, 1932",2
1242804,"Emplesis bifoveata Lea, 1927",EXACT,"Emplesis bifoveata Lea, 1927",28
4450696,"Endomychus coccineus (Linnaeus, 1758)",EXACT,"Endomychus coccineus (Linnaeus, 1758)",4626
1034000,"Enochrus sayi Gundersen, 1977",EXACT,"Enochrus sayi Gundersen, 1977",189
4448675,"Enoplium serraticorne (Olivier, 1790)",EXACT,"Enoplium serraticorne (Olivier, 1790)",29
4476059,"Epaphius secalis (Paykull, 1790)",EXACT,"Epaphius secalis (Paykull, 1790)",3307
4426634,"Epauloecus unicolor (Piller & Mitterpacher, 1783)",EXACT,"Epauloecus unicolor (Piller & Mitterpacher, 1783)",711
4451853,"Ephistemus globulus (Paykull, 1798)",EXACT,"Ephistemus globulus (Paykull, 1798)",1932
1043621,"Epilachna varivestis Mulsant, 1850",EXACT,"Epilachna varivestis Mulsant, 1850",648
6993544,Epilachna vigintioctopunctata,EXACT,Epilachna vigintioctopunctata,558
1144775,"Epithora dorsalis (MacLeay, 1826)",EXACT,"Epithora dorsalis (MacLeay, 1826)",675
1048258,"Epitrix cucumeris (Harris, 1851)",EXACT,"Epitrix cucumeris (Harris, 1851)",1172
1048253,"Epitrix hirtipennis (Melsheimer, 1847)",EXACT,"Epitrix hirtipennis (Melsheimer, 1847)",1287
4462668,"Epitrix pubescens (Koch, 1803)",EXACT,"Epitrix pubescens (Koch, 1803)",1859
1048256,"Epitrix similaris Gentner, 1944",EXACT,"Epitrix similaris Gentner, 1944",18
1048249,"Epitrix tuberis Gentner, 1944",EXACT,"Epitrix tuberis Gentner, 1944",54
4452517,"Epuraea boreella (Zetterstedt, 1828)",EXACT,"Epuraea boreella (Zetterstedt, 1828)",1601
4452484,"Epuraea distincta (Grimmer, 1841)",EXACT,"Epuraea distincta (Grimmer, 1841)",204
10269496,"Epuraea imperialis (Reitter, 1877)",EXACT,"Epuraea imperialis (Reitter, 1877)",361
7919098,"Epuraea luteola Erichson, 1843",EXACT,"Epuraea luteola Erichson, 1843",268
4452600,"Epuraea ocularis Fairmaire, 1849",EXACT,"Epuraea ocularis Fairmaire, 1849",1212
4452569,"Epuraea thoracica Tournier, 1872",EXACT,"Epuraea thoracica Tournier, 1872",436
8016249,"Ergates faber (Linnaeus, 1761)",EXACT,"Ergates faber (Linnaeus, 1761)",2130
7717830,"Erichius vittatus (Eschscholtz, 1822)",EXACT,"Erichius vittatus (Eschscholtz, 1822)",39
5746053,"Erichsonius signaticornis (Mulsant & Rey, 1853)",EXACT,"Erichsonius signaticornis (Mulsant & Rey, 1853)",130
9479605,"Eriocereophaga humeridens O'Brien, 1976",EXACT,"Eriocereophaga humeridens O'Brien, 1976",1
8185687,"Erirhinus filirostris Gyllenhal, 1835",EXACT,"Erirhinus filirostris Gyllenhal, 1835",290
1095202,"Ernobius mollis (Linnaeus, 1758)",EXACT,"Ernobius mollis (Linnaeus, 1758)",2697
1219047,"Erytenna consputa Pascoe, 1870",EXACT,"Erytenna consputa Pascoe, 1870",77
1227862,"Eubulus pilipectus Champion, 1905",EXACT,"Eubulus pilipectus Champion, 1905",0
1166509,"Euciodes suturalis Pascoe, 1866",EXACT,"Euciodes suturalis Pascoe, 1866",150
7495001,"Eucorynus crassicornis Wolfrum, 1953",EXACT,"Eucorynus crassicornis Wolfrum, 1953",79
4435879,"Eulissus chalybaeus Mannerheim, 1830",EXACT,"Eulissus chalybaeus Mannerheim, 1830",440
1094483,"Euoniticellus intermedius (Reiche, 1848)",EXACT,"Euoniticellus intermedius (Reiche, 1848)",1512
1217296,"Euplatypus parallelus Bright & Skidmore, 2002",EXACT,"Euplatypus parallelus Bright & Skidmore, 2002",1016
5747035,"Euplectus karstenii (Reichenbach, 1816)",EXACT,"Euplectus karstenii (Reichenbach, 1816)",2745
4989696,"Euplectus signatus (Reichenbach, 1816)",EXACT,"Euplectus signatus (Reichenbach, 1816)",339
9984929,"Eurodotina inquinula (Gravenhorst, 1802)",EXACT,"Eurodotina inquinula (Gravenhorst, 1802)",121
5744624,"Eurythyrea austriaca (Linnaeus, 1767)",EXACT,"Eurythyrea austriaca (Linnaeus, 1767)",112
4292199,"Euscepes postfasciatus Zimmerman, 1936",EXACT,"Euscepes postfasciatus Zimmerman, 1936",194
8323005,"Eutheia schaumii (Kiesenwetter, 1858)",EXACT,"Eutheia schaumii (Kiesenwetter, 1858)",47
4750894,"Euthenarus bicolor Moore, 1985",EXACT,"Euthenarus bicolor Moore, 1985",26
4750889,"Euthenarus promptus (Erichson, 1842)",EXACT,"Euthenarus promptus (Erichson, 1842)",32
8379851,"Euwallacea fornicatus Wood & Bright, 1992",EXACT,"Euwallacea fornicatus Wood & Bright, 1992",225
1227922,"Euwallacea interjectus Wood & Bright, 1992",EXACT,"Euwallacea interjectus Wood & Bright, 1992",51
1227955,"Euwallacea validus Wood & Bright, 1992",EXACT,"Euwallacea validus Wood & Bright, 1992",277
1043733,"Euxestus erithacus (Chevrolat, 1864)",EXACT,"Euxestus erithacus (Chevrolat, 1864)",59
4452107,"Euxestus parkii Wollaston, 1858",EXACT,"Euxestus parkii Wollaston, 1858",191
4290691,"Exapion ulicis Forster, 1771",EXACT,"Exapion ulicis Forster, 1771",2310
9397421,"Exechesops foliatus R.Frieser, 1995",EXACT,"Exechesops foliatus R.Frieser, 1995",27
1043132,"Exochomus flavipes (Thunberg, 1781)",EXACT,"Exochomus flavipes (Thunberg, 1781)",229
1043140,"Exochomus metallicus Korschefsky, 1935",EXACT,"Exochomus metallicus Korschefsky, 1935",3
5875148,"Exomala orientalis (Waterhouse, 1875)",EXACT,"Exomala orientalis (Waterhouse, 1875)",3299
1232524,"Exomias araneiformis (Schrank, 1781)",EXACT,"Exomias araneiformis (Schrank, 1781)",1310
1232526,"Exomias pellucidus (Boheman, 1834)",EXACT,"Exomias pellucidus (Boheman, 1834)",6491
4437141,"Gabrius astutoides (A.Strand, 1946)",EXACT,"Gabrius astutoides (A.Strand, 1946)",261
1041879,"Gabrius nigritulus (Gravenhorst, 1802)",EXACT,"Gabrius nigritulus (Gravenhorst, 1802)",1575
4437275,"Gabronthus sulcifrons (Sharp, 1889)",EXACT,"Gabronthus sulcifrons (Sharp, 1889)",49
4437267,"Gabronthus thermarum (Aubé, 1850)",EXACT,"Gabronthus thermarum (Aubé, 1850)",313
7416043,"Galapaganus howdenae Lanteri, 2004",EXACT,"Galapaganus howdenae Lanteri, 2004",59
5752048,"Galerucella pusilla (Duftschmid, 1825)",EXACT,"Galerucella pusilla (Duftschmid, 1825)",1051
1048335,"Gastrophysa polygoni (Linnaeus, 1758)",EXACT,"Gastrophysa polygoni (Linnaeus, 1758)",3532
4715839,"Gerallus punctipennis L.W.Schaufuss, 1880",EXACT,"Gerallus punctipennis L.W.Schaufuss, 1880",4
1095751,"Gibbium aequinoctiale Boieldieu, 1854",EXACT,"Gibbium aequinoctiale Boieldieu, 1854",127
1095750,"Gibbium psylloides (Czenpinski, 1778)",EXACT,"Gibbium psylloides (Czenpinski, 1778)",429
4453179,"Glischrochilus fasciatus (Olivier, 1790)",EXACT,"Glischrochilus fasciatus (Olivier, 1790)",1430
